                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.65039,                 1.3879,                0.60102,                0.42637,                0.98919,                0.98767,                      1,                  0.995,                0.75959,                0.98767,                      1,                  0.995,                0.67622,                 1.1297,                 1.6027,                0.66431,                0.68313,                 1.4352,              0.0012575,              0.0012575,              0.0012575
                     77,                0.54981,                 1.3647,                0.58438,                0.42031,                 0.9383,                0.98157,                      1,                  0.995,                0.75025,                0.98157,                      1,                  0.995,                0.62845,                 1.0851,                 1.6179,                0.66039,                0.64603,                 1.4714,              0.0012476,              0.0012476,              0.0012476
                     78,                0.51826,                 1.6328,                0.59259,                0.41986,                0.92793,                0.97883,                      1,                  0.995,                0.74937,                0.97883,                      1,                  0.995,                0.63487,                 1.0575,                  1.629,                0.65827,                0.57372,                 1.5057,              0.0012377,              0.0012377,              0.0012377
                     79,                 0.5952,                 1.3308,                0.60384,                0.42384,                 0.9315,                0.97883,                      1,                  0.995,                0.74937,                0.97883,                      1,                  0.995,                0.63487,                 1.0575,                  1.629,                0.65827,                0.57372,                 1.5057,              0.0012278,              0.0012278,              0.0012278
                     80,                0.53079,                 1.7277,                0.61062,                0.41206,                0.95983,                0.96715,                      1,                  0.995,                 0.7923,                0.96715,                      1,                  0.995,                0.68055,                0.95659,                 1.4854,                0.65938,                 0.5646,                 1.4411,              0.0012179,              0.0012179,              0.0012179
                     81,                0.59655,                 1.7516,                0.58854,                0.42673,                0.93972,                 0.9632,                      1,                  0.995,                0.80216,                 0.9632,                      1,                  0.995,                0.70019,                0.85397,                 1.3395,                 0.6653,                0.59009,                 1.3807,               0.001208,               0.001208,               0.001208
                     82,                0.49916,                 1.3583,                0.57918,                0.40424,                0.93716,                 0.9632,                      1,                  0.995,                0.80216,                 0.9632,                      1,                  0.995,                0.70019,                0.85397,                 1.3395,                 0.6653,                0.59009,                 1.3807,              0.0011981,              0.0011981,              0.0011981
                     83,                0.55955,                 1.7392,                0.60655,                0.40981,                 0.9413,                0.97257,                      1,                  0.995,                0.78562,                0.97257,                      1,                  0.995,                0.70695,                0.75908,                 1.2952,                0.66356,                0.54778,                 1.3491,              0.0011882,              0.0011882,              0.0011882
                     84,                0.51838,                 1.3991,                0.59314,                0.38736,                0.93542,                0.98154,                      1,                  0.995,                 0.7398,                0.98154,                      1,                  0.995,                0.68392,                0.70466,                 1.3404,                0.66123,                0.55421,                 1.3141,              0.0011783,              0.0011783,              0.0011783
                     85,                0.55571,                   1.74,                0.62768,                0.42493,                0.93874,                0.98154,                      1,                  0.995,                 0.7398,                0.98154,                      1,                  0.995,                0.68392,                0.70466,                 1.3404,                0.66123,                0.55421,                 1.3141,              0.0011684,              0.0011684,              0.0011684
